"","SRR7624365","SRR7624366","SRR7624371","SRR7624372","SRR7624375","SRR7624376"
"ENSMUSG00000097920",6,4,0,6,0,4
"ENSMUSG00000026156",64,169,66,80,44,59
"ENSMUSG00000026155",2519,1566,1818,1478,1125,934
"ENSMUSG00000026154",694,357,510,428,330,200
"ENSMUSG00000102495",1,0,0,0,2,0
"ENSMUSG00000026153",2132,1843,2070,2137,2808,2396
"ENSMUSG00000102398",6,6,6,10,14,14
"ENSMUSG00000026147",7,2,0,2,10,2
"ENSMUSG00000026141",0,0,2,0,0,4
"ENSMUSG00000099997",18,7,26,8,20,8
"ENSMUSG00000100131",0,2,0,2,2,0
"ENSMUSG00000067736",5,15,11,15,3,14
"ENSMUSG00000101939",79,123,141,279,181,167
"ENSMUSG00000101111",41,29,23,38,19,56
"ENSMUSG00000100862",10,5,2,2,0,1
"ENSMUSG00000102070",12,6,13,8,6,2
"ENSMUSG00000101249",24,29,24,14,2,9
"ENSMUSG00000073725",1905,1243,1053,867,698,565
"ENSMUSG00000100450",0,2,2,0,8,0
"ENSMUSG00000033569",32,20,6,18,30,12
"ENSMUSG00000104257",0,0,4,5,0,0
"ENSMUSG00000102296",0,0,0,2,1,0
"ENSMUSG00000103209",0,0,0,4,0,0
"ENSMUSG00000102407",0,0,2,0,0,0
"ENSMUSG00000104221",2,0,1,0,0,0
"ENSMUSG00000102250",2,0,0,0,0,0
"ENSMUSG00000102317",2,2,0,0,0,0
"ENSMUSG00000103563",2,0,0,0,0,0
"ENSMUSG00000102465",0,4,0,0,0,0
"ENSMUSG00000102659",0,0,2,0,1,0
"ENSMUSG00000103924",2,7,2,1,0,4
"ENSMUSG00000104132",2,4,2,6,2,2
"ENSMUSG00000102747",2,4,2,0,2,2
"ENSMUSG00000103004",0,0,0,0,0,2
"ENSMUSG00000104516",0,0,2,0,0,0
"ENSMUSG00000073722",11,18,0,0,0,0
"ENSMUSG00000101514",0,0,0,0,0,1
"ENSMUSG00000101372",2,0,4,0,0,0
"ENSMUSG00000103241",1,0,1,0,0,0
"ENSMUSG00000086240",17,8,14,6,14,11
"ENSMUSG00000081557",10,6,2,2,0,0
"ENSMUSG00000099492",71,11,28,37,29,22
"ENSMUSG00000101726",3,0,0,0,0,0
"ENSMUSG00000100261",0,2,0,2,0,0
"ENSMUSG00000101180",0,2,0,0,0,0
"ENSMUSG00000048874",27025,29168,28096,26511,19392,14570
"ENSMUSG00000103783",139,435,248,193,138,174
"ENSMUSG00000104315",141,358,249,201,143,158
"ENSMUSG00000117310",4,6,16,5,6,2
"ENSMUSG00000026064",205,260,227,180,274,229
"ENSMUSG00000117091",96,78,359,36,92,19
"ENSMUSG00000086726",6,0,24,2,8,0
"ENSMUSG00000086727",53,41,217,44,54,18
"ENSMUSG00000100237",0,0,0,0,2,0
"ENSMUSG00000100910",0,0,2,0,6,0
"ENSMUSG00000099796",4,3,3,5,2,2
"ENSMUSG00000050217",1,8,2,1,2,4
"ENSMUSG00000100205",0,0,2,0,0,0
"ENSMUSG00000094215",58,67,187,48,73,20
"ENSMUSG00000101093",1,0,0,2,0,0
"ENSMUSG00000070960",39,30,12,12,12,18
"ENSMUSG00000082159",5,1,2,8,1,10
"ENSMUSG00000026058",1,2,1,0,0,4
"ENSMUSG00000104498",2,0,0,0,2,0
"ENSMUSG00000091318",4,0,0,0,0,0
"ENSMUSG00000104433",2,0,0,0,0,0
"ENSMUSG00000100481",10,8,5,12,8,4
"ENSMUSG00000100590",4,2,0,0,0,0
"ENSMUSG00000101754",2,0,2,2,0,0
"ENSMUSG00000100318",4,10,0,0,2,0
"ENSMUSG00000101612",5,5,2,2,0,0
"ENSMUSG00000065260",4,0,0,0,0,1
"ENSMUSG00000026134",7034,5185,4799,4658,4778,3772
"ENSMUSG00000101682",8,3,1,2,4,8
"ENSMUSG00000102714",49,139,81,61,67,125
"ENSMUSG00000102093",2,4,0,3,4,9
"ENSMUSG00000103746",12,0,8,10,16,17
"ENSMUSG00000102198",0,2,0,2,0,0
"ENSMUSG00000004768",3174,2054,2589,2360,2959,2263
"ENSMUSG00000042215",286,156,189,178,333,181
"ENSMUSG00000042197",8483,6215,5789,5374,7209,5842
"ENSMUSG00000081402",361,254,178,164,153,81
"ENSMUSG00000042182",123,73,49,35,54,45
"ENSMUSG00000104416",2,0,0,6,1,0
"ENSMUSG00000026131",69607,141099,61255,64734,30571,30547
"ENSMUSG00000103596",12,14,14,12,10,14
"ENSMUSG00000099382",0,1,0,3,0,1
"ENSMUSG00000084506",0,0,0,0,0,1
"ENSMUSG00000103364",61,130,76,53,26,63
"ENSMUSG00000105982",4,4,7,3,3,1
"ENSMUSG00000096992",367,951,889,550,311,239
"ENSMUSG00000103001",67,104,61,56,16,23
"ENSMUSG00000104397",0,2,1,0,0,0
"ENSMUSG00000101206",4,0,2,4,0,8
"ENSMUSG00000101462",2,0,2,0,0,0
"ENSMUSG00000102336",40,54,76,60,19,53
"ENSMUSG00000042111",2936,2152,2419,2033,2380,1794
"ENSMUSG00000101711",9,21,12,8,10,19
"ENSMUSG00000026127",8385,5688,7584,6896,10083,7911
"ENSMUSG00000026126",26,29,44,35,161,195
"ENSMUSG00000100280",7,4,22,44,95,58
"ENSMUSG00000101223",1,0,1,0,0,0
"ENSMUSG00000026125",4,0,2,0,4,2
"ENSMUSG00000026124",10,5,0,1,2,2
"ENSMUSG00000037529",0,1,2,0,0,1
"ENSMUSG00000045174",4,2,0,2,0,4
"ENSMUSG00000102499",0,2,2,0,0,0
"ENSMUSG00000103521",8,4,0,0,0,0
"ENSMUSG00000104098",0,0,2,0,0,0
"ENSMUSG00000037509",558,791,530,455,610,642
"ENSMUSG00000102537",0,0,0,1,0,0
"ENSMUSG00000102612",0,0,0,1,0,0
"ENSMUSG00000104002",77,253,105,136,73,110
"ENSMUSG00000037503",16320,11754,10050,8319,9575,6735
"ENSMUSG00000104358",149,338,218,156,218,200
"ENSMUSG00000026123",12194,9023,6365,5473,2983,2108
"ENSMUSG00000103716",0,0,0,0,2,1
"ENSMUSG00000103760",0,0,0,0,0,2
"ENSMUSG00000077231",1,0,2,1,0,0
"ENSMUSG00000102531",20,15,6,8,0,3
"ENSMUSG00000103096",2,2,0,0,0,0
"ENSMUSG00000102279",7,7,4,2,2,0
"ENSMUSG00000103708",103,95,100,99,58,38
"ENSMUSG00000104201",16,15,10,18,19,10
"ENSMUSG00000102434",58,73,150,116,42,30
"ENSMUSG00000045216",9862,6971,5096,3930,3643,2811
"ENSMUSG00000102202",11,79,32,18,27,25
"ENSMUSG00000037470",25870,28480,17861,17462,15134,12599
"ENSMUSG00000098752",6,5,1,4,3,5
"ENSMUSG00000047180",10,12,0,0,17,13
"ENSMUSG00000037447",724,503,523,465,360,353
"ENSMUSG00000102762",2,11,7,6,2,8
"ENSMUSG00000010453",5806,4407,3967,3333,3459,2467
"ENSMUSG00000098680",2,3,0,0,0,1
"ENSMUSG00000037432",198,211,102,124,73,113
"ENSMUSG00000001143",1118,795,644,769,497,553
"ENSMUSG00000037408",725,511,464,336,566,524
"ENSMUSG00000104316",0,9,11,7,6,28
"ENSMUSG00000001138",2600,1831,1984,1423,2558,2241
"ENSMUSG00000067653",10,33,17,15,16,10
"ENSMUSG00000079610",479,373,267,284,329,333
"ENSMUSG00000026121",369,405,276,381,3125,2769
"ENSMUSG00000087589",33,49,5,22,103,86
"ENSMUSG00000046337",3360,2425,1007,874,822,844
"ENSMUSG00000089906",4,7,4,0,3,7
"ENSMUSG00000077939",6,2,0,0,0,0
"ENSMUSG00000061518",14094,8016,8519,7672,7771,6351
"ENSMUSG00000037351",10611,7426,7856,7256,7464,5474
"ENSMUSG00000102416",1,2,3,4,3,0
"ENSMUSG00000026117",470,323,131,186,84,107
"ENSMUSG00000097291",0,0,0,0,4,0
"ENSMUSG00000026116",15685,13668,9297,9015,11105,12210
"ENSMUSG00000103016",14,23,16,11,26,23
"ENSMUSG00000102930",68,228,98,99,82,137
"ENSMUSG00000103159",100,262,161,133,130,175
"ENSMUSG00000080054",8,0,8,5,4,7
"ENSMUSG00000050122",1685,2126,3640,3652,1934,1630
"ENSMUSG00000103603",12,18,45,57,12,26
"ENSMUSG00000026114",326,384,571,378,600,520
"ENSMUSG00000026113",623,526,501,571,281,412
"ENSMUSG00000086064",3,2,4,3,0,1
"ENSMUSG00000102879",4,0,2,0,0,4
"ENSMUSG00000026112",9459,5781,5256,5319,6046,4338
"ENSMUSG00000026111",2952,1728,1792,1856,1330,1089
"ENSMUSG00000026110",1044,994,923,963,559,598
"ENSMUSG00000103948",2,2,9,6,4,4
"ENSMUSG00000087233",0,1,2,0,0,0
"ENSMUSG00000026090",107,84,71,36,32,24
"ENSMUSG00000089767",0,0,0,0,0,1
"ENSMUSG00000104365",2,0,0,0,0,0
"ENSMUSG00000102650",0,0,0,0,2,0
"ENSMUSG00000060771",333,311,323,364,285,179
"ENSMUSG00000097268",4,6,0,0,6,0
"ENSMUSG00000037216",610,402,431,465,428,347
"ENSMUSG00000026088",2222,1351,1639,1723,1503,959
"ENSMUSG00000026087",6168,4243,4414,4627,4832,3585
"ENSMUSG00000061584",2,0,0,0,2,0
"ENSMUSG00000087374",5,9,2,0,0,0
"ENSMUSG00000026085",6,3,8,2,1,0
"ENSMUSG00000058407",6997,4662,5294,4983,5348,4038
"ENSMUSG00000026083",8204,7143,7597,7497,6993,5515
"ENSMUSG00000026082",6615,6004,6157,5590,6017,4552
"ENSMUSG00000103804",96,197,114,101,123,122
"ENSMUSG00000102716",2,0,2,0,8,0
"ENSMUSG00000037138",204,144,436,408,2108,1897
"ENSMUSG00000085391",6,4,5,6,12,11
"ENSMUSG00000085280",0,2,3,7,9,45
"ENSMUSG00000087131",0,2,0,1,6,28
"ENSMUSG00000102984",2,0,0,2,14,29
"ENSMUSG00000103531",0,0,0,0,1,2
"ENSMUSG00000048814",365,323,340,385,43,12
"ENSMUSG00000026080",605,374,407,432,185,186
"ENSMUSG00000103647",0,0,2,2,0,2
"ENSMUSG00000102447",0,0,0,0,2,2
"ENSMUSG00000026078",3448,2312,2663,2435,2038,1305
"ENSMUSG00000103046",35,63,61,48,42,34
"ENSMUSG00000104188",0,0,0,0,2,2
"ENSMUSG00000103182",0,0,2,4,2,2
"ENSMUSG00000026077",65,62,13,16,0,4
"ENSMUSG00000092563",14,0,2,2,0,0
"ENSMUSG00000073702",39509,27893,29373,25732,24016,20675
"ENSMUSG00000003134",4918,5343,2753,2223,986,890
"ENSMUSG00000102607",4,12,15,6,6,2
"ENSMUSG00000003135",6539,4926,5597,4838,3907,2888
"ENSMUSG00000085894",47,105,97,108,105,98
"ENSMUSG00000077704",32,62,45,29,41,27
"ENSMUSG00000048234",3726,2804,2661,2666,2955,2178
"ENSMUSG00000064936",7,18,6,11,10,17
"ENSMUSG00000102471",10,0,0,0,0,6
"ENSMUSG00000050967",304,156,26,73,34,20
"ENSMUSG00000097083",127,163,250,331,380,382
"ENSMUSG00000057173",80,55,12,8,10,10
"ENSMUSG00000101634",14,15,6,12,5,7
"ENSMUSG00000026074",24201,18861,19837,16762,13668,9058
"ENSMUSG00000026073",16,4,2,4,34,11
"ENSMUSG00000097899",0,2,0,0,0,0
"ENSMUSG00000102975",4,2,0,0,0,0
"ENSMUSG00000026072",224,128,44,33,21,6
"ENSMUSG00000103560",4,2,0,2,8,2
"ENSMUSG00000070942",98,83,30,28,44,35
"ENSMUSG00000103230",0,6,3,0,0,2
"ENSMUSG00000026069",1,0,0,1,0,0
"ENSMUSG00000026070",4,0,0,0,0,0
"ENSMUSG00000026068",0,0,6,0,0,0
"ENSMUSG00000026065",0,0,0,1,0,0
"ENSMUSG00000026062",78,46,6,4,49,24
"ENSMUSG00000103270",4,0,4,2,0,0
"ENSMUSG00000041945",90,55,42,25,58,25
"ENSMUSG00000100832",0,0,0,0,2,0
"ENSMUSG00000060424",6,0,6,1,2,0
"ENSMUSG00000045515",123,36,44,24,27,28
"ENSMUSG00000097063",0,6,0,0,0,2
"ENSMUSG00000060679",8060,5769,4458,4379,4442,3462
"ENSMUSG00000077448",7,8,5,5,2,6
"ENSMUSG00000041907",12,2,15,8,5,10
"ENSMUSG00000070939",1745,922,605,570,683,676
"ENSMUSG00000100269",4,6,0,0,0,2
"ENSMUSG00000041878",4,11,6,6,16,15
"ENSMUSG00000010290",3470,2480,2225,2256,2023,1726
"ENSMUSG00000008136",20,24,10,10,99,98
"ENSMUSG00000094497",1522,768,974,835,945,814
"ENSMUSG00000099576",0,10,7,4,1,0
"ENSMUSG00000066877",2641,1843,1565,1417,1475,1446
"ENSMUSG00000103422",16,33,21,17,6,34
"ENSMUSG00000103945",105,142,141,119,205,208
"ENSMUSG00000026051",10,18,15,0,15,19
"ENSMUSG00000100764",7,22,9,3,1,0
"ENSMUSG00000100635",5,7,2,8,5,2
"ENSMUSG00000100480",15,16,11,12,3,5
"ENSMUSG00000057363",2346,1512,1615,1590,1072,902
"ENSMUSG00000090243",10,45,48,32,24,27
"ENSMUSG00000100701",26,28,36,26,26,22
"ENSMUSG00000101395",0,0,6,10,0,2
"ENSMUSG00000041763",18241,13703,12108,12847,16011,12112
"ENSMUSG00000047343",38,341,84,87,55,101
"ENSMUSG00000090106",2,5,2,0,0,0
"ENSMUSG00000091844",24,46,25,18,38,22
"ENSMUSG00000026049",1143,865,1192,1325,1468,1233
"ENSMUSG00000026047",3275,2364,2124,2266,2162,1661
"ENSMUSG00000041684",3168,1706,1303,1376,1604,1432
"ENSMUSG00000026048",5217,3763,3812,3368,2971,2112
