"","SRR7624365","SRR7624366","SRR7624371","SRR7624372","SRR7624375","SRR7624376"
"ENSMUSG00000028293",2144.66666666667,1662.16666666667,1742.16666666667,1632.5,1261.5,976
"ENSMUSG00000028294",176,127.166666666667,163.25,161.166666666667,92.6666666666667,95.3333333333333
"ENSMUSG00000028295",520.5,515.166666666667,589.833333333333,631.75,663.25,569
"ENSMUSG00000039967",16979.5,21722.1666666667,12110.3333333333,13893.3333333333,10789.1666666667,11512.5
"ENSMUSG00000082367",74.3333333333333,104.333333333333,69.8333333333333,72.5,72.5,79.3333333333333
"ENSMUSG00000085824",72.5,77.6666666666667,76.6666666666667,82,53.3333333333333,49.5
"ENSMUSG00000073910",849,816.166666666667,635.75,677.25,551.666666666667,789.5
"ENSMUSG00000028300",2191.25,2395.75,1871.5,2127.41666666667,1422,1561.5
"ENSMUSG00000028405",9491.33333333333,8805,7694.83333333333,8180.5,6415.58333333333,6831
"ENSMUSG00000040296",2286.5,3133.5,8161.75,8995.16666666667,2500.91666666667,2689
"ENSMUSG00000036822",11416.1666666667,14467.75,16022.5,16062.1666666667,16841.6666666667,13408.3333333333
"ENSMUSG00000028407",125.166666666667,99.3333333333333,175.166666666667,147.166666666667,160.5,151.833333333333
"ENSMUSG00000071014",3056.66666666667,2369.41666666667,2609.25,2538.5,2474.66666666667,2171.16666666667
"ENSMUSG00000028411",773.666666666667,780.833333333333,1029.91666666667,946.833333333333,1465.91666666667,1448.16666666667
"ENSMUSG00000028410",7519.33333333333,7678.16666666667,14181,15005.8333333333,16821,14457.8333333333
"ENSMUSG00000028409",14908,15468.5,19419.3333333333,19865,19181.8333333333,18086.1666666667
"ENSMUSG00000056412",66,59.1666666666667,61,55.8333333333333,68.6666666666667,72.6666666666667
"ENSMUSG00000028413",3927.08333333333,3340.41666666667,1948.66666666667,2106.83333333333,1829.66666666667,2128.33333333333
"ENSMUSG00000081309",62.1666666666667,59.1666666666667,85,78.8333333333333,74.8333333333333,62.5
"ENSMUSG00000028416",7052.41666666667,6645.83333333333,6237.58333333333,6393.66666666667,7240.66666666667,7274.33333333333
"ENSMUSG00000028419",5835,5040.83333333333,5288.83333333333,5352,4420.66666666667,3935
"ENSMUSG00000028423",14654.1666666667,17104.8333333333,14189.1666666667,15312.5,22926,23117.5
"ENSMUSG00000028435",22900.5,28252.8333333333,1357.25,1136,64.8333333333333,56.6666666666667
"ENSMUSG00000028430",11104,12260.8333333333,13037.3333333333,11130.1666666667,12832.3333333333,13280.25
"ENSMUSG00000036241",6371.33333333333,4979.25,4943.66666666667,4749.16666666667,6010.33333333333,5722
"ENSMUSG00000082186",86.8333333333333,67.3333333333333,65,69.8333333333333,74.8333333333333,80.5
"ENSMUSG00000028433",7694.83333333333,6729.16666666667,6713.33333333333,5143.91666666667,8118.66666666667,10183.8333333333
"ENSMUSG00000089308",61,84.8333333333333,77.6666666666667,73.5,83,73.8333333333333
"ENSMUSG00000028436",8612,8908.16666666667,9680.83333333333,9239.16666666667,7065.83333333333,6537.66666666667
"ENSMUSG00000087938",47.5833333333333,58.3333333333333,74.5,60.5,61.3333333333333,61.6666666666667
"ENSMUSG00000028437",4119.16666666667,4697.5,4149.66666666667,4288.16666666667,4068.66666666667,3750.41666666667
"ENSMUSG00000028438",1379,2014.66666666667,1564.5,1632.5,1416.33333333333,2013.83333333333
"ENSMUSG00000028443",936.833333333333,979.333333333333,1060.16666666667,1123.83333333333,1353.33333333333,1169.66666666667
"ENSMUSG00000046312",5445.5,4618,897.666666666667,736.666666666667,200.333333333333,228.333333333333
"ENSMUSG00000028439",131.333333333333,116,133,98.3333333333333,86,86.1666666666667
"ENSMUSG00000061322",166.25,116.916666666667,128.833333333333,128.833333333333,337.333333333333,271
"ENSMUSG00000028445",114.333333333333,78.8333333333333,72.5,100.666666666667,194.5,200.083333333333
"ENSMUSG00000028444",134.166666666667,100.5,606.833333333333,311.166666666667,993.166666666667,804
"ENSMUSG00000073889",202.5,174.666666666667,212,239.166666666667,165.5,178
"ENSMUSG00000036114",1840,1477.66666666667,2998.83333333333,2821.66666666667,4320.83333333333,4412.33333333333
"ENSMUSG00000028447",2164.66666666667,1994.75,2476.16666666667,2429.33333333333,2724.91666666667,2514.58333333333
"ENSMUSG00000066224",50,53.1666666666667,45.8333333333333,53.8333333333333,100,102.666666666667
"ENSMUSG00000036078",2629.91666666667,1830,3881.91666666667,3991.66666666667,7578.33333333333,6499.16666666667
"ENSMUSG00000036073",1614,1484.66666666667,1884.33333333333,1716.83333333333,1531.16666666667,1448.16666666667
"ENSMUSG00000073888",318.833333333333,302.333333333333,250,251,181.833333333333,215.833333333333
"ENSMUSG00000050141",55.8333333333333,50,65,65.6666666666667,63.1666666666667,55.8333333333333
"ENSMUSG00000036052",873.666666666667,637.166666666667,1934.5,1487,2111.5,2155.33333333333
"ENSMUSG00000028451",63.8333333333333,140.666666666667,86.3333333333333,85,70.8333333333333,85
"ENSMUSG00000028452",19437.3333333333,21375.5,27255.3333333333,26140,27111.3333333333,27830.8333333333
"ENSMUSG00000028453",1297,1436.33333333333,1902.5,1840.66666666667,1604.41666666667,1673.25
"ENSMUSG00000028454",2278.33333333333,2730.66666666667,2230,1985.66666666667,2057.16666666667,2060.83333333333
"ENSMUSG00000028455",13507.6666666667,11522.3333333333,11651.8333333333,11986.6666666667,12110.3333333333,12444.3333333333
"ENSMUSG00000036002",980.666666666667,981.916666666667,862.166666666667,828.833333333333,419.916666666667,355.666666666667
"ENSMUSG00000096974",79.5,56.5,66.5,57.5,57.3333333333333,53.8333333333333
"ENSMUSG00000028456",4721,6652.16666666667,3776.16666666667,3651.33333333333,1709.83333333333,1746
"ENSMUSG00000028457",72.5,97,212,147.166666666667,106.166666666667,91.75
"ENSMUSG00000035969",3093.66666666667,2861,3364,2249.83333333333,234.416666666667,327.083333333333
"ENSMUSG00000028458",487.416666666667,294,294.75,292,514.166666666667,458.5
"ENSMUSG00000028461",1253,1066.33333333333,890.666666666667,763,543,589.833333333333
"ENSMUSG00000051517",1137.58333333333,1194.75,1412.16666666667,1583.25,1941.33333333333,1954.5
"ENSMUSG00000087142",65,55.8333333333333,62.3333333333333,54.6666666666667,80.3333333333333,86.1666666666667
"ENSMUSG00000028463",69.6666666666667,70.3333333333333,97.1666666666667,121.833333333333,272,353.166666666667
"ENSMUSG00000028464",174.333333333333,230.166666666667,340.833333333333,322,1585.33333333333,1661.16666666667
"ENSMUSG00000028465",17008.3333333333,22872.1666666667,23196.3333333333,22016.8333333333,13106.1666666667,15848.1666666667
"ENSMUSG00000028466",1281.33333333333,1144,1135.58333333333,1090,965.333333333333,889.083333333333
"ENSMUSG00000028467",1410.66666666667,1414.08333333333,2906,2730.66666666667,2079.33333333333,2077.83333333333
"ENSMUSG00000028468",1949.33333333333,1668.66666666667,1675.33333333333,1543.16666666667,2210.33333333333,2404.5
"ENSMUSG00000028469",168.333333333333,115.166666666667,80.5,72.5,130.833333333333,140.666666666667
"ENSMUSG00000066196",59.1666666666667,87.6666666666667,49.5,89.5,55.5,59.3333333333333
"ENSMUSG00000028470",1541.58333333333,1192.5,998.5,1029.33333333333,751.333333333333,691.666666666667
"ENSMUSG00000043633",128.833333333333,81.3333333333333,73.3333333333333,96.1666666666667,101.916666666667,79.3333333333333
"ENSMUSG00000078716",485.916666666667,317.833333333333,153.666666666667,153,95.5,85
"ENSMUSG00000028475",71.3333333333333,64.8333333333333,67.6666666666667,68.8333333333333,81.1666666666667,77.1666666666667
"ENSMUSG00000028476",1036.66666666667,1058,845.166666666667,775.166666666667,666.75,852.333333333333
"ENSMUSG00000028480",1898.33333333333,1530.41666666667,777.833333333333,1136.75,2266.91666666667,2600.33333333333
"ENSMUSG00000070999",83,109.083333333333,73.3333333333333,100.666666666667,138.166666666667,125.166666666667
"ENSMUSG00000028478",16180,13281.5,12822.1666666667,13106.1666666667,12376.5,12638.6666666667
"ENSMUSG00000028479",1318.16666666667,1095.83333333333,1232.16666666667,1226.33333333333,2004.33333333333,2518
"ENSMUSG00000084274",98.1666666666667,89,65,76.6666666666667,101.916666666667,101.666666666667
"ENSMUSG00000035696",2993.58333333333,2979.33333333333,1883.16666666667,2038,2662.16666666667,3583
"ENSMUSG00000035683",5143.16666666667,5690.33333333333,7330.16666666667,6968.66666666667,8442.66666666667,7895
"ENSMUSG00000014030",165.5,98.5,52.6666666666667,61.5,76.8333333333333,60.5
"ENSMUSG00000080916",333,462.833333333333,343.5,264.833333333333,65.8333333333333,65.6666666666667
"ENSMUSG00000035649",1273,2896.5,3151.33333333333,3080,3548.5,3506.33333333333
"ENSMUSG00000035637",4493,3488.83333333333,2084.33333333333,2123.33333333333,2329.33333333333,2585.25
"ENSMUSG00000049657",1206.83333333333,1325.25,1102.83333333333,1165.16666666667,1304.33333333333,1337.25
"ENSMUSG00000070997",80.5,74.3333333333333,76.6666666666667,74.5,93.6666666666667,94.1666666666667
"ENSMUSG00000028318",2094.5,2190.5,3795.66666666667,3846.83333333333,4416.33333333333,3916
"ENSMUSG00000048232",1007,1127.5,439.833333333333,414,220.416666666667,200.083333333333
"ENSMUSG00000078713",3026,2903.08333333333,3953.58333333333,4250.33333333333,7037.83333333333,7169.83333333333
"ENSMUSG00000035615",60.3333333333333,55,69.8333333333333,56.6666666666667,73.6666666666667,56.6666666666667
"ENSMUSG00000035601",1151.5,1235.83333333333,1386.16666666667,1464.66666666667,1193.5,1077.08333333333
"ENSMUSG00000028322",1972.91666666667,1468.66666666667,2275.25,2712.16666666667,3912.66666666667,3664
"ENSMUSG00000035572",1423.16666666667,1278.5,1151.58333333333,1191.08333333333,1344.66666666667,1463.58333333333
"ENSMUSG00000045973",2960.33333333333,2711.5,2079.33333333333,2195,3146.33333333333,2979.83333333333
"ENSMUSG00000044813",934,612.166666666667,763.833333333333,743.583333333333,1657.66666666667,1511.5
"ENSMUSG00000085876",57.1666666666667,51.1666666666667,58.3333333333333,66.6666666666667,98,103.833333333333
"ENSMUSG00000035561",785.333333333333,380.5,596.166666666667,583.833333333333,745.833333333333,592.333333333333
"ENSMUSG00000035551",130.666666666667,81.3333333333333,135.166666666667,174.333333333333,278.166666666667,297.666666666667
"ENSMUSG00000028327",225.916666666667,162,63.6666666666667,73.5,108.166666666667,122.833333333333
"ENSMUSG00000035517",186.5,138.083333333333,174.166666666667,142.166666666667,105.166666666667,77.1666666666667
"ENSMUSG00000035495",2095.5,1738.91666666667,2082,1862.16666666667,2669.66666666667,2671.58333333333
"ENSMUSG00000028330",8803.5,7650.83333333333,9266.16666666667,9388.33333333333,10292.1666666667,9472.83333333333
"ENSMUSG00000028329",600.666666666667,524.166666666667,356.333333333333,418.583333333333,242.666666666667,260
"ENSMUSG00000082194",60.3333333333333,48.25,62.3333333333333,59.3333333333333,57.3333333333333,60.5
"ENSMUSG00000028331",1307.58333333333,1255.83333333333,1736.5,1657.41666666667,1824.16666666667,1655.66666666667
"ENSMUSG00000028333",7382.33333333333,8110,11162.5,11277.5,15522.1666666667,8709.5
"ENSMUSG00000028334",4543.33333333333,3816.41666666667,4843.75,4986,4714.66666666667,4834.33333333333
"ENSMUSG00000039853",78.8333333333333,64.8333333333333,61,78.8333333333333,88.5,83
"ENSMUSG00000039813",827.5,645.333333333333,594.666666666667,529.666666666667,443.833333333333,453.666666666667
"ENSMUSG00000039809",68.8333333333333,54,72.5,53.8333333333333,53.3333333333333,52.6666666666667
"ENSMUSG00000066191",106.666666666667,106.333333333333,51.1666666666667,62.4166666666667,88.5,78.1666666666667
"ENSMUSG00000039774",945.5,815.25,849.333333333333,689.666666666667,338.833333333333,307.166666666667
"ENSMUSG00000028339",48.5,57.3333333333333,62.3333333333333,55.8333333333333,61.3333333333333,56.6666666666667
"ENSMUSG00000007613",4081,4113.58333333333,4722.33333333333,4499.83333333333,3672.66666666667,3492.91666666667
