"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"ENSG00000243710",97.5,85.5,90.1666666666667,86.5,115.5,100.833333333333
"ENSG00000117399",140.666666666667,122.833333333333,169,99.5,185,1038.16666666667
"ENSG00000066322",1403,1442,1818.58333333333,1077.33333333333,1547,1602.5
"ENSG00000159479",764.833333333333,674.5,874.666666666667,667.833333333333,756.666666666667,764.833333333333
"ENSG00000229431",99.6666666666667,104.666666666667,102.333333333333,101,104.666666666667,101.666666666667
"ENSG00000198198",939.666666666667,1124.75,1036.75,1616.58333333333,1107.33333333333,1026.83333333333
"ENSG00000142949",1737,2106.5,2249.16666666667,1221.16666666667,1317.16666666667,606.166666666667
"ENSG00000066135",594.166666666667,563.333333333333,623.833333333333,767.75,719.583333333333,674.166666666667
"ENSG00000236200",118,115.166666666667,131.166666666667,155.166666666667,118.166666666667,131.833333333333
"ENSG00000126091",150.166666666667,186.666666666667,157.166666666667,270.166666666667,158.583333333333,235.833333333333
"ENSG00000117408",981.333333333333,1022.5,1043.5,847.75,606.166666666667,826.666666666667
"ENSG00000132768",245.75,247,281.666666666667,210.166666666667,228.75,293.333333333333
"ENSG00000117410",908.5,838.666666666667,1133.83333333333,459.166666666667,605,614.166666666667
"ENSG00000117411",1306.83333333333,1414.16666666667,1790.75,748.083333333333,1020,1174.5
"ENSG00000159214",145,167.333333333333,178.666666666667,111.333333333333,146.833333333333,118
"ENSG00000196517",298.75,311.5,299.5,188.833333333333,131.833333333333,303.166666666667
"ENSG00000230615",304.75,365.25,323.833333333333,132.666666666667,315.5,573.833333333333
"ENSG00000171872",114.5,96.6666666666667,115.333333333333,71.3333333333333,91.6666666666667,118
"ENSG00000178028",461.416666666667,518,556.833333333333,504.5,544.666666666667,402.666666666667
"ENSG00000117419",934.25,1007.16666666667,1108.5,884.75,867,897.916666666667
"ENSG00000233602",78.3333333333333,99.1666666666667,89,90.1666666666667,78.3333333333333,80.8333333333333
"ENSG00000187147",583.5,614,703,653.916666666667,698.5,847.5
"ENSG00000126106",119,111.583333333333,129,126.333333333333,159.5,129
"ENSG00000198520",97.5,105.666666666667,87.8333333333333,110.333333333333,107.333333333333,93.3333333333333
"ENSG00000199377",93.8333333333333,98,87.8333333333333,71.3333333333333,131.833333333333,104.666666666667
"ENSG00000200169",85.3333333333333,75.3333333333333,85.3333333333333,73.8333333333333,91.6666666666667,145
"ENSG00000142945",288.333333333333,261.333333333333,238.166666666667,144,228.166666666667,1253.41666666667
"ENSG00000142937",10780.5,10462.8333333333,11418.1666666667,14068.8333333333,15750.6666666667,15811
"ENSG00000142959",73.8333333333333,76.3333333333333,81.5,71.8333333333333,84.8333333333333,75.6666666666667
"ENSG00000173846",439.166666666667,491.333333333333,483,420,574.333333333333,429.666666666667
"ENSG00000188396",111.166666666667,113.166666666667,130,113.166666666667,128,93.3333333333333
"ENSG00000222009",464.666666666667,494.5,565,436.166666666667,485,308
"ENSG00000117425",78.3333333333333,89.1666666666667,89,83.6666666666667,89,78.3333333333333
"ENSG00000070785",497.666666666667,516.166666666667,523.833333333333,438.833333333333,454,611.166666666667
"ENSG00000126107",837.666666666667,925,917.916666666667,735.666666666667,895.166666666667,863
"ENSG00000126088",1384.83333333333,1430.91666666667,1780.66666666667,1150.66666666667,1511,1512.83333333333
"ENSG00000162415",172.083333333333,164.083333333333,186.666666666667,88,109,90.8333333333333
"ENSG00000132781",86.5,81.5,89,96,100.5,83.5
