"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"hsa-miR-181a-3p ",1112.16666666667,1150.66666666667,1112.16666666667,684.166666666667,455.833333333333,803
"hsa-miR-181a-5p ",17243.8333333333,18560.5,13590.5,148711,6434.66666666667,16526.6666666667
"hsa-miR-181b-3p ",106.333333333333,103.25,112,93.6666666666667,93.75,101.75
"hsa-miR-181b-5p ",2012,2241.5,1641.66666666667,4723,934.5,2574.83333333333
"hsa-miR-181c-3p ",210.333333333333,219.083333333333,194,256.833333333333,246.166666666667,220
"hsa-miR-181c-5p ",161.083333333333,171.833333333333,148.166666666667,297.166666666667,190.833333333333,201
"hsa-miR-181d-5p ",885.333333333333,956.5,651,2012,1144.83333333333,1051.5
"hsa-miR-182-5p ",114.166666666667,112,116.333333333333,106.833333333333,97.4166666666667,135.916666666667
"hsa-miR-183-5p ",95.5,92.1666666666667,100.333333333333,102.666666666667,101.166666666667,105.166666666667
"hsa-miR-185-3p ",143.416666666667,142.583333333333,152.25,206.5,150.75,154.166666666667
"hsa-miR-185-5p ",6922.83333333333,7903.66666666667,4820.16666666667,11559.1666666667,3433,6228.83333333333
"hsa-miR-186-5p ",7736.5,7736.5,6011.83333333333,7378.16666666667,6922.83333333333,7736.5
"hsa-miR-188-5p ",111.666666666667,114.75,121.083333333333,126.75,101.166666666667,113.666666666667
"hsa-miR-18a-3p ",96.9166666666667,94.1666666666667,96.3333333333333,105.333333333333,97.4166666666667,102.666666666667
"hsa-miR-18a-5p ",122.333333333333,128.333333333333,141.333333333333,101.833333333333,134.416666666667,155.5
"hsa-miR-1908-5p ",102.666666666667,113.666666666667,104.166666666667,152.25,93.75,122.5
"hsa-miR-190a-5p ",100.583333333333,94.1666666666667,108.166666666667,95.75,105.5,100.166666666667
"hsa-miR-190b-5p ",92.9166666666667,93.3333333333333,93.0833333333333,92.5,99.3333333333333,93.3333333333333
"hsa-miR-191-3p ",100.583333333333,98.5,98.5,111.833333333333,99.3333333333333,109.333333333333
"hsa-miR-191-5p ",37860.8333333333,37860.8333333333,37860.8333333333,60425,32465.5,37860.8333333333
"hsa-miR-192-5p ",343.666666666667,294.333333333333,278.666666666667,272.666666666667,336,458
"hsa-miR-193a-3p ",139,154.333333333333,146.166666666667,294.333333333333,113,141.416666666667
"hsa-miR-193a-5p ",1744.83333333333,2489.5,1268.83333333333,5794.33333333333,1202,2418.5
"hsa-miR-193b-3p ",1471.83333333333,1566.83333333333,1383.5,7903.66666666667,985,1842.16666666667
"hsa-miR-193b-5p ",175.333333333333,186.666666666667,143.666666666667,515.833333333333,148.333333333333,212.5
"hsa-miR-194-5p ",357.666666666667,299.333333333333,265.666666666667,209.666666666667,315.416666666667,347.833333333333
"hsa-miR-195-3p ",111.666666666667,110.166666666667,129.166666666667,106.166666666667,129.166666666667,113.666666666667
"hsa-miR-195-5p ",347.833333333333,309.5,509.833333333333,186.666666666667,694.333333333333,412.666666666667
"hsa-miR-196a-5p ",7378.16666666667,7118.66666666667,8609.16666666667,4439.16666666667,7903.66666666667,4439.16666666667
"hsa-miR-196b-3p ",108.416666666667,116.916666666667,102.416666666667,113.666666666667,102.666666666667,105.166666666667
"hsa-miR-196b-5p ",1963.5,1417.66666666667,2391.33333333333,1112.16666666667,2489.5,1687.66666666667
"hsa-miR-197-3p ",1383.5,1339.83333333333,1471.83333333333,2489.5,1457.83333333333,1464.83333333333
"hsa-miR-199a-3p ",194191.166666667,194191.166666667,194191.166666667,110003.583333333,226443.083333333,194191.166666667
"hsa-miR-199a-5p ",69027.3333333333,72483,69027.3333333333,63114.5,88611.3333333333,79368.8333333333
"hsa-miR-199b-3p ",194191.166666667,194191.166666667,194191.166666667,110003.583333333,226443.083333333,194191.166666667
"hsa-miR-199b-5p ",956.5,921.833333333333,921.833333333333,1603,2190,1417.66666666667
"hsa-miR-19a-3p ",146.166666666667,126.166666666667,132.75,119.25,159.166666666667,160.666666666667
