"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"ENSG00000055070",1143,1257,1539,1436,1878,1694
"ENSG00000226457",13,15,10,25,23,24
"ENSG00000187144",4,5,9,22,11,13
"ENSG00000157191",1382,1441,1769,1298,1724,1457
"ENSG00000226029",23,21,21,52,61,36
"ENSG00000080947",128,169,135,221,195,155
"ENSG00000206652",28,28,21,19,59,50
"ENSG00000261135",0,0,0,1,0,3
"ENSG00000285853",0,0,0,1,0,0
"ENSG00000233421",0,1,3,1,0,3
"ENSG00000219481",518,540,593,621,683,988
"ENSG00000271732",1,2,2,5,4,1
"ENSG00000215908",108,110,142,140,174,122
"ENSG00000186301",45,32,53,47,16,17
"ENSG00000282143",0,0,0,0,1,0
"ENSG00000207513",4,1,0,0,1,0
"ENSG00000280114",0,0,0,0,3,0
"ENSG00000236698",13,3,10,2,18,10
"ENSG00000058453",260,262,292,315,441,255
"ENSG00000227684",0,1,2,3,0,1
"ENSG00000207389",3,0,1,1,3,4
"ENSG00000186715",16,18,13,35,9,13
"ENSG00000228549",2,4,3,1,3,2
"ENSG00000238142",12,14,11,14,42,29
"ENSG00000207005",32,13,28,23,40,65
"ENSG00000272426",1,1,2,6,2,1
"ENSG00000117122",318,350,409,309,384,423
"ENSG00000226526",3,7,6,0,2,2
"ENSG00000159363",287,338,424,241,231,455
"ENSG00000117118",1014,892,1124,774,1080,1295
"ENSG00000117115",2,0,3,2,0,6
"ENSG00000204362",16,22,14,4,2,6
"ENSG00000282843",0,1,1,0,0,0
"ENSG00000142623",11,11,18,6,0,8
"ENSG00000179051",1182,1144,1287,1285,1071,1816
"ENSG00000074964",666,793,832,569,660,516
"ENSG00000117148",0,0,0,0,0,1
"ENSG00000117154",0,0,0,1,0,0
"ENSG00000179023",2,1,5,46,47,41
"ENSG00000159423",157,148,241,157,139,168
"ENSG00000221662",0,0,2,0,0,1
"ENSG00000169991",307,325,328,411,365,401
"ENSG00000272084",13,36,17,27,15,21
"ENSG00000127481",11983,12836,11333,14589,13801,11843
"ENSG00000230424",16,4,11,9,7,12
"ENSG00000127463",2926,2794,3168,2282,2457,2495
"ENSG00000053372",458,460,569,396,592,758
"ENSG00000286064",7,9,14,7,8,17
"ENSG00000211454",8,6,7,4,11,9
"ENSG00000162482",2,12,9,14,21,6
"ENSG00000270728",19,20,21,36,38,19
"ENSG00000053371",450,509,709,432,757,567
"ENSG00000200403",7,8,4,2,4,0
"ENSG00000040487",148,185,196,159,216,198
"ENSG00000077549",3027,3282,3808,3492,3424,3894
"ENSG00000240490",0,2,2,1,1,3
"ENSG00000173436",167,124,177,222,266,195
"ENSG00000158747",894,921,1215,2327,2969,1053
"ENSG00000270136",0,0,0,1,0,0
"ENSG00000226396",10,9,8,19,18,23
"ENSG00000158748",3,3,5,4,10,5
"ENSG00000162542",211,204,210,315,451,301
"ENSG00000169914",292,279,322,372,476,456
"ENSG00000188257",2,0,0,1,1,0
"ENSG00000127472",0,0,0,0,2,0
"ENSG00000225986",0,0,0,0,1,0
"ENSG00000162543",5,1,2,9,33,11
"ENSG00000236963",3,2,6,1,5,3
"ENSG00000226487",0,0,0,0,1,0
"ENSG00000284743",0,0,0,2,0,0
"ENSG00000162545",1387,1361,1426,708,1102,777
"ENSG00000090432",589,591,704,659,846,822
"ENSG00000215520",0,0,0,0,0,1
"ENSG00000183114",12,21,16,10,7,21
"ENSG00000158825",16,17,41,1,4,11
"ENSG00000158828",581,556,764,427,484,485
"ENSG00000117242",122,71,93,97,158,98
"ENSG00000244038",4155,4021,5381,2833,4009,3705
"ENSG00000117245",36,43,50,15,59,25
"ENSG00000235432",0,2,0,0,0,0
"ENSG00000189410",234,237,323,86,253,288
"ENSG00000233069",1,2,2,6,6,6
"ENSG00000127483",4855,4516,4691,6246,8623,8178
"ENSG00000075151",5106,5049,4669,6081,4969,4836
"ENSG00000251914",3,7,4,8,7,3
"ENSG00000221808",5,3,5,7,1,1
"ENSG00000233072",14,8,8,22,10,10
"ENSG00000236073",8,10,4,11,7,9
"ENSG00000235112",11,9,11,21,10,14
"ENSG00000287192",6,1,8,5,5,4
"ENSG00000117298",2085,2366,2102,1643,2793,1385
"ENSG00000236936",5,7,7,11,20,3
"ENSG00000231105",1,1,3,4,11,5
"ENSG00000227001",43,32,40,23,64,40
"ENSG00000187952",0,0,1,0,1,1
"ENSG00000142794",474,477,571,452,733,514
"ENSG00000162551",200,229,232,903,334,868
"ENSG00000233431",0,0,0,0,0,5
"ENSG00000076864",18,18,17,3,22,32
"ENSG00000090686",2288,2154,1985,2485,2832,2594
"ENSG00000231978",0,1,0,1,0,2
"ENSG00000187942",17,16,20,22,14,4
"ENSG00000142798",2502,3427,3568,4293,1449,1798
"ENSG00000232037",5,4,2,3,6,2
"ENSG00000228397",1,0,0,2,0,0
"ENSG00000218510",34,23,30,33,32,34
"ENSG00000070831",7368,6765,8120,5772,9295,9378
"ENSG00000285752",2,4,10,9,15,7
"ENSG00000230068",21,8,15,27,8,17
"ENSG00000271428",12,14,15,33,16,22
"ENSG00000162552",8,16,8,23,11,25
"ENSG00000285873",2,0,2,2,0,0
"ENSG00000184677",1118,1061,1146,1679,1546,1327
"ENSG00000237200",12,8,7,7,16,10
"ENSG00000070886",1,0,0,0,0,0
"ENSG00000173372",0,0,0,1,3,9
"ENSG00000159189",0,0,0,0,2,14
"ENSG00000173369",0,0,0,1,12,19
"ENSG00000133216",427,397,463,253,648,687
"ENSG00000265422",0,0,1,0,0,0
"ENSG00000225952",0,3,0,0,1,2
"ENSG00000227868",2,1,2,0,1,0
"ENSG00000004487",2230,2211,2459,2166,2843,2897
"ENSG00000240553",4,3,7,13,3,12
"ENSG00000263793",2,1,4,7,0,4
"ENSG00000266802",0,1,0,6,0,0
"ENSG00000169641",2604,2622,2641,3246,3059,3213
"ENSG00000229010",6,5,8,11,9,10
"ENSG00000206935",2,0,0,5,3,8
"ENSG00000252578",1,1,1,11,7,7
"ENSG00000179546",5,3,1,1,0,3
"ENSG00000261326",236,264,236,478,536,481
"ENSG00000284726",20,19,14,25,37,21
"ENSG00000125944",2821,2691,2892,3505,4717,5650
"ENSG00000125945",732,623,715,1389,1634,1156
"ENSG00000249087",29,22,15,53,109,63
"ENSG00000271420",1,4,4,3,5,5
"ENSG00000204219",440,448,504,372,787,417
"ENSG00000232482",1,1,1,5,4,1
"ENSG00000088280",1161,1156,1464,2629,1904,1719
"ENSG00000007968",3,3,5,7,4,66
"ENSG00000235052",2,2,1,6,0,3
"ENSG00000117318",2294,2348,3475,2399,4166,2982
"ENSG00000285802",10,15,4,3,4,8
"ENSG00000197880",7,5,5,0,0,0
"ENSG00000142676",9761,10245,11921,10687,14331,12382
"ENSG00000236810",24,24,16,21,28,23
"ENSG00000011007",1709,1761,2081,1563,2023,1958
"ENSG00000057757",681,674,770,733,949,1060
"ENSG00000011009",394,458,539,368,574,536
"ENSG00000117308",278,266,427,340,701,439
"ENSG00000117305",768,751,1002,758,1056,738
"ENSG00000179163",990,972,1042,798,1119,805
"ENSG00000188822",0,0,0,1,0,0
"ENSG00000229106",1,1,1,1,1,0
"ENSG00000189266",3008,2770,2939,3094,5599,4206
"ENSG00000188529",3818,3360,3535,4627,5990,5713
"ENSG00000142661",33,39,52,25,40,43
"ENSG00000142677",2,2,1,2,3,2
"ENSG00000185436",3,3,2,13,58,44
"ENSG00000232298",0,0,0,1,3,3
"ENSG00000158055",7,1,8,7,15,12
"ENSG00000001460",306,301,369,211,403,407
"ENSG00000001461",4851,4865,5657,2064,4353,3523
"ENSG00000286061",3,2,3,0,5,0
"ENSG00000117602",507,515,524,364,655,626
"ENSG00000184454",0,0,0,0,0,1
"ENSG00000133226",1265,1348,1237,1931,1872,1927
"ENSG00000284699",0,0,0,0,5,0
"ENSG00000169504",27605,24682,26366,19207,24360,29319
"ENSG00000238482",18,19,9,36,6,21
"ENSG00000020633",50,69,76,55,65,69
"ENSG00000229162",0,0,3,4,3,3
"ENSG00000261025",0,0,0,0,2,0
"ENSG00000264371",1,0,0,0,2,0
"ENSG00000285823",0,0,1,0,0,0
"ENSG00000233755",0,1,0,0,0,0
"ENSG00000231953",0,2,0,0,0,4
"ENSG00000117614",1113,1045,1131,924,1670,1143
"ENSG00000284602",15,10,8,26,32,20
"ENSG00000284657",6,3,9,4,4,9
"ENSG00000117616",2503,2088,2409,1941,2378,1784
"ENSG00000272432",0,0,3,3,2,2
"ENSG00000261349",21,24,21,8,13,16
"ENSG00000187010",37,39,36,98,37,28
"ENSG00000224183",9,2,15,13,7,7
"ENSG00000259984",11,8,9,12,7,9
"ENSG00000183726",5013,4497,5200,3172,3031,3170
"ENSG00000188672",15,11,25,16,13,7
"ENSG00000238084",2,0,1,1,2,0
"ENSG00000204178",1497,1372,1439,1528,1516,1462
"ENSG00000157978",1136,1163,1187,746,777,765
"ENSG00000225643",4,16,7,2,9,5
